"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"poblacion"
"73";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2006;29,7941952506596
"74";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2007;29,9345335515548
"75";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2008;30,083946722748
"76";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2009;30,1897964355098
"77";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2010;30,3019483166218
"78";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2011;30,3989934733035
"79";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2012;30,5026575550494
"80";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2013;30,6557557925708
"81";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2014;30,7750213857998
"82";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2015;30,9193827416788
"83";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2016;31,0863125294553
"84";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2017;31,2847703781238
"85";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2018;31,4692355889724
"86";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2019;31,5956962177066
"87";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2020;31,7332566829549
"88";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2021;31,9945107264885
"89";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2022;32,2922077922078
"90";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2023;32,6045415131151
"91";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2024;32,9030620424304
"92";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2025;33,2241852125303
"93";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2026;33,5498489425982
"94";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2027;33,8430130779528
"95";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2028;34,1578545232274
"96";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2029;34,4637688467551
"97";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2030;34,7893685051958
"98";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2031;35,1049868766404
"99";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2032;35,4173707997642
"100";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2033;35,7352510970258
"101";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2034;36,0712798411699
"102";1;"Tarapacá";14;"Tamarugal";1401;"Pozo Almonte";2035;36,397026272736
"103";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2002;29,4830188679245
"104";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2003;30,4209284028324
"105";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2004;30,8937198067633
"106";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2005;31,3466557911909
"107";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2006;31,9476268412439
"108";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2007;32,5065466448445
"109";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2008;32,7553017944535
"110";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2009;33,3165584415584
"111";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2010;33,877122069523
"112";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2011;34,322632423756
"113";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2012;34,7767145135566
"114";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2013;35,3095238095238
"115";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2014;35,8745067087609
"116";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2015;36,541241162608
"117";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2016;36,9460093896714
"118";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2017;37,6088646967341
"119";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2018;37,8987823439878
"120";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2019;38,1353159851301
"121";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2020;38,2967272727273
"122";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2021;38,5816473988439
"123";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2022;39,0318148951555
"124";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2023;39,3676577229877
"125";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2024;39,7023289665211
"126";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2025;40,1247264770241
"127";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2026;40,603663003663
"128";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2027;41,0058823529412
"129";1;"Tarapacá";14;"Tamarugal";1402;"Camiña";2028;41,5121771217712
