"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"mayor";"menor";"menores_porcentaje"
"454";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2013;6109;2027;0,331805532820429
"455";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2014;6341;2079;0,327866267150292
"456";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2015;6551;2128;0,324835902915585
"457";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2016;6754;2170;0,321291086763399
"458";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2017;6971;2206;0,316453880361498
"459";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2018;7339;2242;0,305491211336694
"460";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2019;7715;2298;0,297861309138043
"461";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2020;8083;2351;0,290857354942472
"462";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2021;8302;2373;0,285834738617201
"463";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2022;8438;2380;0,282057359563878
"464";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2023;8554;2375;0,277647884030863
"465";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2024;8659;2371;0,273819147707587
"466";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2025;8758;2363;0,269810459008906
"467";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2026;8851;2352;0,265732685572252
"468";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2027;8947;2331;0,260534257292947
"469";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2028;9032;2316;0,256421612046058
"470";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2029;9111;2300;0,252442102952475
"471";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2030;9186;2283;0,248530372305683
"472";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2031;9256;2269;0,245138288677615
"473";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2032;9324;2250;0,241312741312741
"474";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2033;9386;2232;0,237800980183252
"475";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2034;9442;2217;0,234801948739674
"476";2;"Antofagasta";22;"El Loa";2203;"San Pedro de Atacama";2035;9485;2209;0,232894043226147
"477";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2002;16408;8412;0,51267674305217
"478";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2003;16490;8387;0,508611279563372
"479";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2004;16588;8353;0,503556788039547
"480";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2005;16704;8300;0,496886973180077
"481";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2006;16842;8235;0,488956180976131
"482";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2007;17001;8174;0,480795247338392
"483";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2008;17181;8115;0,472324078924393
"484";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2009;17356;8059;0,464335100253515
"485";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2010;17522;8018;0,457596164821367
"486";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2011;17711;7972;0,450115747275704
"487";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2012;17903;7921;0,44243981455622
"488";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2013;18125;7879;0,434703448275862
"489";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2014;18376;7851;0,427242054854158
"490";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2015;18598;7824;0,420690396816862
"491";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2016;18823;7798;0,414280401636296
"492";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2017;19122;7764;0,406024474427361
"493";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2018;19541;7683;0,393173327874725
"494";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2019;19979;7680;0,384403623804995
"495";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2020;20394;7685;0,376826517603217
"496";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2021;20594;7620;0,370010682723123
"497";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2022;20748;7553;0,364035087719298
"498";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2023;20854;7479;0,358636232857006
"499";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2024;20961;7393;0,352702638232909
