"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"año";"mayor";"otros";"menores_porcentaje"
"500";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2025;5205;23164;0,224702123985495
"501";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2026;5324;23058;0,230896001387805
"502";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2027;5431;22962;0,236521208953924
"503";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2028;5542;22858;0,2424534079972
"504";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2029;5660;22745;0,248845900197846
"505";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2030;5781;22624;0,255525106082037
"506";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2031;5928;22484;0,263654154065113
"507";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2032;6068;22341;0,271608253882995
"508";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2033;6222;22179;0,280535641823346
"509";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2034;6383;22007;0,290044076884628
"510";2;"Antofagasta";23;"Tocopilla";2301;"Tocopilla";2035;6554;21821;0,300352871087485
"511";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2002;425;9910;0,0428859737638749
"512";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2003;429;9470;0,0453009503695882
"513";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2004;434;9063;0,0478870131303101
"514";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2005;440;8682;0,0506795669200645
"515";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2006;448;8330;0,053781512605042
"516";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2007;457;8012;0,0570394408387419
"517";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2008;471;7719;0,0610182666148465
"518";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2009;486;7448;0,0652524167561762
"519";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2010;510;7188;0,0709515859766277
"520";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2011;533;6955;0,0766355140186916
"521";2;"Antofagasta";23;"Tocopilla";2302;"María Elena";2012;561;6735;0,0832962138084632
